"","with_independent_council","news_station_first","source_type","block_quarter","slope_data","slope_sem_data","intercept_data","intercept_sem_data","slope_model","slope_sem_model","intercept_model","intercept_sem_model"
"1",TRUE,"First","helpful",1,1.08773108516434,0.0733378550047089,0.0736757722495403,0.0929154476894271,0.873003571768572,0.0634259720314609,0.0671311860273525,0.0864888301570273
"2",TRUE,"First","random",1,1.06387946225864,0.0891512613848774,0.0143493941835955,0.0817775627918352,0.829475836490687,0.0798264709791246,0.0654183128021328,0.0784285897586313
"3",TRUE,"First","opposite",1,0.479520808093706,0.0507684388911613,-0.0736136313624566,0.0767565555084648,0.503778009168343,0.0513363298944628,0.0130633239218108,0.0772262866444192
"4",TRUE,"First","bluebias",1,1.02389211490939,0.0782998124809644,-0.00957389359792226,0.106562046906834,0.872412000042471,0.0711849696448242,-0.0641883389386727,0.103541775617551
"5",TRUE,"First","helpful",2,1.12849970888857,0.0763060649053801,0.00430118452848531,0.0935828321554788,0.979068916605979,0.0687809896219524,0.0102102353185892,0.0891897953734435
"6",TRUE,"First","random",2,0.919680412534983,0.0831052943177412,0.049667208292243,0.0796890313519091,0.752889098384305,0.0769371816217716,0.0375171824977907,0.0773852228787309
"7",TRUE,"First","opposite",2,0.0853176352012501,0.0447196284738753,-0.00668030629645422,0.0719208379655263,0.0852029348668553,0.0447191856306778,-0.00718262629136568,0.0719204725293648
"8",TRUE,"First","bluebias",2,1.01200584016204,0.0776690760863341,-0.0487597435186441,0.100702189783444,0.927247114130796,0.0732046806898136,-0.156726833210556,0.100013678161459
"9",TRUE,"First","helpful",3,1.2262449880743,0.0819019906470816,0.0229552672587701,0.0956419668803918,1.02876303284383,0.0716586180206314,-0.000378872537277171,0.0898704095288869
"10",TRUE,"First","random",3,0.890437376385881,0.0823574070930538,0.00900744779717814,0.0791877074701229,0.705477392186028,0.0756677667438175,0.0186709629908658,0.0767295514564928
"11",TRUE,"First","opposite",3,0.0315802123467691,0.0446496932209067,0.0270825404883894,0.0717806920421397,-0.011778606749694,0.044629710647149,0.0319112416372664,0.0717638927618236
"12",TRUE,"First","bluebias",3,1.07934769933673,0.0800348766800464,-0.13419511524416,0.105938815797386,0.94606756810971,0.0731955562830232,-0.235389625291641,0.103967705701759
"13",TRUE,"First","helpful",4,1.11414446854713,0.0760846760660698,0.0940736892497023,0.0924541328701654,1.02278945582347,0.0715155445538215,0.0263309174634479,0.0897840288921923
"14",TRUE,"First","random",4,0.840737560342554,0.0820294226663673,0.00170342639993383,0.0781918916945053,0.635315814136834,0.0749822211339725,0.00131757913280847,0.0756917953938548
"15",TRUE,"First","opposite",4,-0.00883605974964344,0.0456111671041858,-0.0443328710601197,0.071783655547249,-0.0946582780165296,0.0458281730899841,-0.0104807408739003,0.0719630124664094
"16",TRUE,"First","bluebias",4,0.993996333264934,0.0744838818476767,-0.0510498731732584,0.0999032689708178,0.905547865766147,0.0699907943321713,-0.178017707742222,0.0992847447414096
"17",FALSE,"First","helpful",1,1.53162359565018,0.0961851392283487,-0.0817674467344985,0.0990935190837685,1.28810869963001,0.0816940854992601,0.0254820987900232,0.0922072028088673
"18",FALSE,"First","random",1,0.679932712049949,0.0702534345821742,-0.0486605881485816,0.0727423367165859,0.721314482583512,0.0715984559320388,0.0925563068277456,0.0733008194796058
"19",FALSE,"First","opposite",1,0.0322068614911463,0.0435912590077264,0.000452870186612386,0.0681806305875033,0.0946027263249992,0.0437876340152888,0.00526337667088158,0.0683442820370745
"20",FALSE,"First","bluebias",1,1.12588879846388,0.0780388295627474,-0.158059279196332,0.101503579122267,1.10584387652848,0.0771005422909797,-0.14446551311058,0.100902925764057
"21",FALSE,"First","helpful",2,1.70262182452619,0.108687957382813,-0.0303870701885461,0.103279787106829,1.76913772970404,0.113355488530803,0.129004756937494,0.105115615957034
"22",FALSE,"First","random",2,0.445589714113146,0.0650889461010983,0.00561363675070424,0.0701952441829689,0.460708868512814,0.0654223555433045,0.0296309394884279,0.0703366325676986
"23",FALSE,"First","opposite",2,-0.639616429619774,0.0540724943313235,-0.0978124153276394,0.0756344312992355,-0.688204954527212,0.0555349288430514,-0.00463992053772006,0.0766265393319785
"24",FALSE,"First","bluebias",2,1.12137799101073,0.0772564238787778,-0.110006105999691,0.0998227360690022,1.39524252942825,0.0904515808507567,-0.528834764063121,0.112677668074062
"25",FALSE,"First","helpful",3,1.80794515651462,0.113567324045305,-0.0207246885255854,0.111074462299478,1.89176192696103,0.119972662433335,0.040693939021683,0.113683925073266
"26",FALSE,"First","random",3,0.399247201725724,0.0660232629660043,0.00689932966918523,0.0697056938836718,0.348512133689055,0.0651372317822608,0.0307347241144829,0.0693580017138519
"27",FALSE,"First","opposite",3,-0.873962266870603,0.060500059169577,0.0484756571268157,0.0820723398628653,-0.999911303907031,0.0658795257120122,0.0688593819016839,0.0855803145180603
"28",FALSE,"First","bluebias",3,1.1589302636786,0.0806726175052165,-0.272356970610432,0.103513523839815,1.53744286040435,0.0994740720199988,-0.7947106925705,0.121722661047993
"29",FALSE,"First","helpful",4,1.79958628693892,0.114290300164926,0.0577583186266648,0.107014656291191,2.03476619981659,0.132218454443108,0.0825646882529484,0.113639252848945
"30",FALSE,"First","random",4,0.31835204348679,0.063118232161874,-0.00301590894312688,0.0692242811581659,0.265415272307306,0.0623251558278408,0.0244998189753649,0.0689186509866758
"31",FALSE,"First","opposite",4,-1.02604331311175,0.0676689501831274,0.00915477059970219,0.0856448587110347,-1.21648115928064,0.0770892368379823,0.00808221488646777,0.091002840286148
"32",FALSE,"First","bluebias",4,1.14732172962221,0.0785728366875785,-0.362827276711719,0.103460839702465,1.58312346973534,0.102006254711449,-0.952031199791055,0.126286604033882
